Concurso	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7
1	3	5	8	9	19	21	30
2	8	11	12	14	20	21	28
3	11	12	21	24	25	28	29
4	6	7	13	15	18	19	29
5	2	8	9	17	19	24	28
6	1	11	18	19	26	30	31
7	2	5	6	14	20	24	25
8	1	4	13	21	22	24	27
9	3	10	13	18	19	23	24
10	6	10	13	18	19	20	30
11	7	13	16	19	20	27	31
12	2	3	7	12	17	21	22
13	1	4	7	9	20	21	26
14	1	8	16	20	21	26	31
15	8	11	13	16	26	28	29
16	1	2	7	12	16	20	25
17	9	11	13	14	19	20	22
18	4	7	8	14	21	27	31
19	3	4	9	12	14	28	29
20	6	12	17	21	26	29	31
21	2	8	10	11	12	18	31
22	2	4	5	12	18	22	27
23	9	10	17	19	25	27	28
24	7	8	12	15	16	18	30
25	1	10	13	17	21	25	29
26	2	8	10	11	16	20	28
27	6	12	15	17	20	23	28
28	2	9	12	15	18	20	24
29	3	5	13	21	22	24	27
30	4	8	9	17	20	27	30
31	4	6	7	9	11	24	28
32	3	4	7	16	18	20	27
33	3	10	12	13	23	28	31
34	6	12	15	18	23	27	29
35	3	7	11	12	17	22	23
36	2	7	11	12	13	16	27
37	2	7	12	16	18	22	23
38	8	15	17	18	26	29	30
39	4	5	6	9	13	25	30
40	2	10	12	14	19	21	27
41	7	12	23	25	27	30	31
42	6	11	14	16	17	29	31
43	4	7	17	18	27	28	31
44	7	9	15	23	26	30	31
45	2	5	7	12	15	29	30
46	1	4	5	8	10	16	30
47	5	7	13	15	16	20	22
48	6	8	10	17	23	29	31
49	4	11	16	17	20	23	31
50	14	16	17	18	22	23	31
51	2	8	10	14	16	24	28
52	7	12	14	20	22	24	26
53	3	7	16	18	19	25	30
54	4	11	18	21	24	25	27
55	1	8	16	18	22	25	28
56	9	10	15	16	17	23	31
57	3	5	10	12	18	26	28
58	11	12	13	24	25	29	30
59	3	4	5	8	10	24	25
60	1	6	7	8	17	18	22
61	5	8	10	13	19	25	28
62	7	11	13	18	23	28	30
63	2	3	6	9	27	28	29
64	5	6	8	17	18	20	27
65	7	20	21	27	28	30	31
66	4	6	10	11	12	17	24
67	1	4	8	14	19	22	26
68	1	4	6	14	20	21	27
69	1	3	5	6	8	26	29
70	2	4	5	9	11	28	29
71	4	6	7	8	24	27	31
72	1	2	6	8	9	18	21
73	8	9	10	11	14	18	23
74	6	12	15	17	20	23	29
75	2	3	6	14	28	30	31
76	10	15	16	21	25	26	29
77	6	7	11	12	14	19	21
78	4	6	8	13	14	19	23
79	1	8	10	12	15	21	28
80	2	3	4	10	18	19	28
81	6	10	12	25	26	27	29
82	2	9	10	13	16	17	22
83	2	9	10	13	15	21	26
84	7	10	15	16	18	19	24
85	3	7	21	22	23	26	31
86	3	6	8	9	11	19	26
87	7	9	10	15	18	21	22
88	3	4	17	18	19	23	27
89	3	6	16	18	19	24	31
90	1	5	6	8	12	23	26
91	8	10	15	16	23	28	29
92	5	7	8	9	15	26	29
93	1	8	9	16	21	23	30
94	7	10	13	15	19	23	26
95	5	7	8	18	20	23	28
96	3	4	9	15	17	28	29
97	1	10	12	22	23	25	28
98	1	3	7	12	26	27	28
99	4	14	20	27	28	29	30
100	3	4	8	15	16	20	21
101	4	5	9	13	19	20	29
102	4	7	10	19	22	26	28
103	4	5	19	23	25	26	31
104	3	13	20	25	26	27	30
105	3	7	8	12	21	24	29
106	5	8	17	20	25	26	28
107	4	7	13	15	18	20	23
108	2	6	15	17	22	24	25
109	3	18	20	23	24	26	28
110	4	8	10	11	14	18	26
111	1	6	8	14	17	21	26
112	11	13	18	21	24	25	26
113	6	9	10	12	17	27	30
114	7	8	9	23	26	29	31
115	7	8	13	16	18	21	22
116	2	5	12	16	18	24	30
117	5	7	9	16	18	20	27
118	2	5	7	9	15	22	30
119	2	3	6	12	24	25	28
120	2	8	16	21	22	27	28
121	3	9	10	12	14	19	24
122	12	13	14	15	16	23	31
123	6	11	16	18	19	21	23
124	12	15	20	21	22	24	27
125	1	8	12	13	17	26	30
126	9	11	14	18	24	27	29
127	1	5	7	9	17	21	22
128	2	7	8	15	19	20	22
129	6	12	13	15	16	28	29
130	5	8	10	20	23	25	28
131	4	5	11	22	26	27	30
132	3	11	14	18	19	23	26
133	1	4	8	10	20	22	31
134	1	2	8	10	14	16	18
135	2	5	6	11	25	27	28
136	17	19	20	21	23	27	30
137	3	5	6	8	16	19	28
138	9	13	15	17	21	27	29
139	3	4	11	13	18	19	22
140	5	8	9	12	14	17	22
141	2	7	9	15	23	25	30
142	6	11	18	21	23	29	30
143	5	10	11	15	22	29	31
144	2	4	7	8	13	15	27
145	2	3	6	10	11	13	15
146	1	8	9	17	18	19	23
147	2	3	6	8	9	22	27
148	7	9	11	18	21	22	29
149	3	16	20	21	25	26	30
150	1	2	7	16	17	26	29
151	3	11	13	17	22	29	31
152	1	3	5	10	14	25	31
153	2	13	21	23	25	29	30
154	3	5	9	14	21	29	30
155	3	13	15	16	25	27	28
156	1	3	7	15	16	29	31
157	2	10	17	18	20	25	29
158	7	14	20	23	27	28	29
159	1	10	14	17	23	28	31
160	4	8	9	12	13	25	30
161	2	3	5	14	15	20	25
162	6	10	11	14	20	24	25
163	7	10	16	18	24	25	27
164	7	10	12	13	17	21	22
165	4	5	7	8	11	19	24
166	6	7	11	19	22	23	25
167	10	11	12	13	15	20	26
168	1	3	4	20	23	25	26
169	9	11	14	18	24	26	29
170	1	9	10	11	15	20	21
171	3	7	11	18	20	23	29
172	3	6	10	21	25	27	30
173	2	7	11	13	25	27	28
174	3	5	6	7	17	19	25
175	4	6	7	17	21	26	31
176	3	4	6	9	10	18	29
177	3	11	17	18	24	25	28
178	2	3	4	9	12	23	24
179	3	4	5	11	21	24	30
180	5	13	20	21	23	25	30
181	6	8	10	15	17	26	28
182	2	3	7	15	22	26	31
183	5	7	16	17	21	24	27
184	6	9	10	14	16	17	22
185	7	11	18	21	24	28	29
186	6	15	17	22	23	26	27
187	1	3	6	15	17	23	26
188	8	12	21	23	24	26	28
189	2	7	13	16	18	20	29
190	3	4	5	6	14	16	27
191	3	4	11	24	26	28	29
192	4	11	14	15	18	28	31
193	12	13	16	25	28	30	31
194	3	4	7	9	15	21	23
195	2	3	5	14	15	22	23
196	4	13	14	22	26	29	30
197	1	2	4	11	17	18	28
198	1	2	9	10	16	23	28
199	2	15	20	21	22	23	24
200	10	12	13	17	21	23	27
201	2	7	9	13	14	16	29
202	5	6	7	11	21	26	29
203	2	3	7	10	15	17	20
204	2	11	20	21	27	28	31
205	5	6	9	17	19	20	23
206	13	16	21	23	24	27	28
207	1	5	8	10	12	25	28
208	2	4	17	21	28	29	31
209	5	7	14	17	19	23	29
210	7	10	18	19	20	23	27
211	1	5	13	24	26	27	29
212	5	11	14	17	18	26	30
213	6	9	10	18	21	24	26
214	2	9	11	13	21	28	29
215	4	7	11	13	15	18	25
216	5	8	9	14	25	28	30
217	2	6	16	17	18	20	26
218	2	3	11	12	17	18	21
219	3	6	10	16	17	25	28
220	2	4	9	17	19	25	31
221	3	6	7	9	15	27	31
222	3	12	13	16	18	19	27
223	3	4	10	11	14	19	28
224	1	6	8	14	17	19	23
225	1	7	12	14	22	24	26
226	1	4	8	12	22	24	28
227	2	11	12	15	17	20	25
228	4	10	14	18	21	22	23
229	9	13	15	21	25	27	30
230	5	8	12	18	24	27	29
231	4	10	12	13	14	24	26
232	4	5	6	12	15	16	26
233	3	6	7	16	22	23	28
234	4	5	13	17	23	24	29
235	13	17	18	19	22	27	29
236	4	5	6	9	11	19	23
237	3	6	14	18	19	29	31
238	1	2	10	19	24	26	28
239	5	13	15	23	27	29	30
240	1	4	8	13	19	22	25
241	3	5	6	12	20	23	31
242	2	3	5	9	16	19	25
243	2	4	8	13	14	17	22
244	1	6	12	13	15	16	29
245	1	5	7	14	21	30	31
246	9	10	14	16	18	19	24
247	2	9	10	12	17	25	28
248	2	5	14	16	17	18	22
249	3	8	12	20	21	27	29
250	1	5	10	14	15	29	30
251	5	11	14	18	20	27	31
252	4	9	12	19	25	28	31
253	4	12	14	19	23	28	29
254	18	20	21	22	25	27	31
255	3	11	23	24	25	28	30
256	1	5	12	16	27	30	31
257	5	12	17	19	21	24	28
258	1	2	3	9	13	24	30
259	6	9	10	13	21	26	29
260	5	8	10	12	18	24	31
261	5	8	9	18	23	26	31
262	4	5	17	18	20	27	28
263	9	18	19	21	23	27	30
264	13	15	22	23	25	30	31
265	2	3	14	16	17	20	27
266	1	3	10	14	17	30	31
267	1	2	6	9	13	20	30
268	2	3	14	16	17	21	29
269	1	4	6	9	26	27	31
270	1	2	3	4	24	27	28
271	7	15	17	20	21	24	29
272	3	5	6	10	12	16	21
273	3	11	12	19	20	26	28
274	2	3	4	6	8	10	30
275	7	10	12	14	24	27	28
276	4	5	15	16	18	27	30
277	2	3	10	13	21	22	31
278	5	8	13	21	22	24	26
279	3	7	10	13	24	25	28
280	2	3	10	13	17	24	28
281	5	7	9	14	24	26	31
282	7	8	16	22	23	25	31
283	2	8	17	20	21	22	24
284	1	3	4	5	18	22	25
285	10	15	17	18	21	22	23
286	4	5	19	23	28	29	30
287	10	14	15	16	18	24	30
288	7	11	16	21	23	28	30
289	2	4	14	17	19	21	30
290	5	12	13	18	21	23	29
291	2	3	5	7	10	17	20
292	1	4	5	19	22	23	24
293	3	7	13	20	25	27	28
294	4	5	10	12	14	19	24
295	1	4	5	9	10	22	30
296	4	6	13	18	21	22	27
297	10	13	14	15	20	23	29
298	3	4	8	9	16	24	31
299	3	14	15	17	20	21	22
300	10	15	16	17	24	25	31
301	11	18	22	27	28	29	30
302	1	4	7	10	15	25	31
303	5	13	15	16	18	25	30
304	1	2	16	23	24	25	30
305	4	8	9	10	20	25	28
306	3	11	12	13	20	24	30
307	4	8	14	15	16	24	27
308	10	11	16	20	21	23	28
309	2	5	10	11	12	18	19
310	6	7	9	10	13	14	21
311	1	3	9	16	17	21	22
312	2	9	15	22	24	29	30
313	9	12	16	19	24	28	29
314	1	7	9	11	22	25	26
315	9	10	19	22	26	27	28
316	1	10	13	14	16	22	30
317	5	7	8	14	15	22	28
318	6	11	14	16	18	28	30
319	3	10	14	17	28	29	30
320	4	9	12	13	15	26	27
321	7	13	21	22	26	29	31
322	4	9	12	19	20	26	28
323	1	9	24	25	27	29	30
324	3	6	14	18	24	27	30
325	7	8	19	20	21	24	26
326	1	10	15	16	22	24	29
327	4	9	13	15	21	23	25
328	11	14	17	20	23	25	27
329	2	6	9	17	18	19	22
330	7	10	11	17	23	24	29
331	7	8	23	26	29	30	31
332	6	8	9	14	15	18	25
333	5	10	13	16	18	20	22
334	3	5	12	14	19	24	28
335	1	3	5	10	13	14	26
336	4	8	11	13	23	26	28
337	1	6	7	20	21	27	30
338	3	8	10	11	14	23	24
339	1	5	9	10	23	24	25
340	4	7	16	17	20	27	28
341	1	5	8	10	11	13	27
342	2	7	8	11	12	20	30
343	1	7	11	25	26	29	31
344	1	2	17	23	24	25	31
345	5	7	8	13	22	26	30
346	14	15	17	21	24	25	31
347	6	8	19	20	22	23	29
348	2	10	18	19	24	26	27
349	2	10	17	25	26	28	29
350	7	16	20	23	24	25	26
351	4	8	9	11	18	19	26
352	5	11	12	15	18	22	26
353	9	16	20	22	24	28	30
354	6	8	20	21	24	28	29
355	4	12	13	16	19	22	31
356	1	2	10	15	22	23	28
357	3	4	6	11	23	24	26
358	3	4	5	15	25	27	29
359	6	9	14	20	21	22	25
360	10	11	13	19	25	27	30
361	1	4	5	12	14	22	27
362	3	7	10	19	29	30	31
363	2	11	12	13	14	18	30
364	3	6	7	12	15	23	28
365	6	11	14	15	17	19	21
366	17	19	23	25	26	29	31
367	6	15	17	22	23	26	29
368	12	20	21	22	24	26	28
369	10	15	16	17	19	21	30
370	4	6	11	15	19	21	22
371	3	11	12	16	24	29	31
372	2	4	19	20	23	26	27
