Concurso	Bola1	Bola2	Bola3	Bola4	Bola5
1	25	45	60	76	79
2	13	30	58	63	64
3	5	15	32	33	48
4	27	57	60	61	77
5	19	44	53	54	71
6	4	45	54	65	67
7	9	21	37	42	68
8	5	16	26	28	62
9	4	15	44	64	73
10	20	32	49	54	62
11	17	33	52	60	76
12	1	28	56	65	79
13	13	33	38	39	72
14	44	52	60	64	68
15	2	25	54	63	66
16	11	24	63	64	69
17	1	14	26	34	72
18	6	29	40	63	72
19	12	21	42	60	66
20	13	16	31	39	70
21	5	15	38	48	77
22	7	9	11	25	75
23	1	15	63	72	77
24	9	44	57	67	68
25	2	29	46	69	76
26	10	15	22	55	79
27	5	36	39	70	78
28	8	26	28	29	30
29	20	23	31	35	76
30	12	13	14	56	60
31	43	51	54	69	73
32	9	23	31	60	80
33	21	31	44	65	74
34	17	45	64	67	69
35	44	52	54	56	60
36	42	56	62	65	79
37	9	26	31	36	65
38	11	12	57	59	69
39	5	7	21	28	70
40	2	18	31	38	49
41	5	14	31	41	49
42	15	33	39	76	78
43	5	18	21	41	71
44	2	7	57	59	76
45	2	3	27	64	65
46	30	49	72	78	80
47	10	18	22	31	73
48	20	39	72	73	76
49	10	19	39	52	66
50	4	10	15	42	45
51	2	20	26	42	79
52	6	39	41	61	64
53	40	42	48	64	69
54	13	21	32	33	66
55	12	14	60	66	68
56	5	18	24	43	48
57	31	49	52	63	71
58	34	41	50	67	77
59	20	35	37	42	71
60	19	25	32	68	71
61	27	54	63	71	77
62	3	12	24	36	40
63	11	40	50	74	78
64	25	43	52	59	75
65	3	25	60	62	75
66	66	73	75	76	79
67	5	23	36	67	70
68	7	52	68	69	76
69	16	61	65	72	78
70	5	25	52	57	62
71	27	55	66	73	75
72	12	23	39	54	72
73	6	17	49	65	70
74	41	47	49	70	74
75	4	27	46	53	55
76	3	23	58	62	74
77	6	9	27	43	65
78	2	19	50	59	69
79	4	18	55	57	74
80	35	42	55	60	78
81	13	31	45	56	63
82	13	34	55	64	80
83	17	20	30	33	68
84	1	8	13	53	61
85	3	20	27	32	61
86	13	49	57	67	78
87	18	29	37	51	57
88	11	25	49	51	53
89	2	32	40	53	54
90	8	16	32	74	79
91	7	30	33	52	69
92	11	25	29	42	66
93	4	6	27	68	74
94	1	19	59	65	80
95	6	43	50	63	71
96	4	50	51	52	77
97	5	6	16	54	70
98	4	16	17	35	49
99	2	9	17	66	76
100	33	36	56	58	60
101	12	27	28	30	36
102	5	23	50	65	67
103	12	16	53	64	66
104	20	30	36	48	53
105	3	7	45	46	65
106	20	21	43	45	67
107	2	3	30	39	72
108	1	19	50	52	54
109	1	21	27	48	78
110	1	19	27	36	57
111	15	42	54	68	76
112	31	41	75	76	79
113	12	14	42	61	69
114	10	20	44	58	65
115	2	21	38	54	73
116	16	20	34	56	57
117	7	11	24	42	49
118	14	23	26	56	77
119	2	16	19	26	27
120	7	39	48	58	62
121	19	22	53	69	77
122	2	8	12	53	54
123	8	20	64	68	73
124	10	11	12	23	37
125	10	13	22	50	66
126	4	12	63	78	80
127	14	18	59	60	64
128	17	24	47	49	66
129	5	9	12	23	71
130	18	34	38	40	43
131	13	32	56	73	74
132	19	25	63	74	77
133	13	18	43	47	53
134	10	28	60	62	74
135	2	53	57	62	64
136	9	19	24	59	61
137	13	14	37	66	75
138	13	23	37	56	80
139	14	52	54	65	77
140	32	43	50	57	75
141	6	51	53	54	57
142	15	21	56	79	80
143	14	27	39	48	61
144	16	24	42	71	75
145	2	8	40	55	60
146	12	18	21	31	69
147	1	18	52	67	72
148	32	33	43	46	52
149	8	16	18	22	73
150	12	24	26	39	40
151	22	23	42	54	65
152	5	14	31	38	75
153	2	10	11	15	66
154	5	9	41	64	67
155	12	30	48	70	75
156	7	12	29	54	55
157	42	50	52	66	72
158	2	27	35	44	55
159	4	11	24	25	32
160	8	25	42	60	63
161	13	29	41	61	74
162	20	25	57	67	78
163	9	14	16	52	71
164	7	9	19	45	80
165	12	21	27	45	75
166	2	31	41	43	44
167	20	33	62	63	69
168	15	26	30	44	69
169	3	15	30	56	72
170	18	22	27	74	75
171	12	18	37	47	56
172	37	38	57	67	79
173	22	29	34	42	51
174	11	16	23	44	48
175	29	60	64	72	79
176	1	27	29	36	73
177	9	33	48	67	73
178	5	14	15	66	68
179	30	60	65	68	75
180	1	20	23	25	49
181	6	21	31	37	64
182	9	44	46	57	59
183	20	33	48	69	70
184	22	29	38	58	62
185	9	24	28	31	45
186	6	20	21	46	63
187	2	43	45	64	68
188	28	43	56	57	77
189	1	5	52	53	71
190	21	29	46	59	76
191	4	7	19	35	56
192	16	37	54	68	77
193	12	13	51	67	73
194	14	19	32	37	45
195	8	23	50	65	73
196	10	27	30	72	78
197	3	27	30	33	59
198	6	14	18	71	73
199	3	31	47	77	79
200	19	21	64	70	72
201	7	71	73	76	79
202	6	37	43	61	62
203	3	13	17	47	60
204	7	11	21	51	58
205	4	9	31	40	58
206	1	10	36	62	64
207	5	7	12	16	66
208	3	24	48	52	71
209	26	37	61	67	71
210	10	14	32	53	61
211	3	11	19	31	39
212	38	46	50	65	69
213	5	13	14	34	63
214	10	19	24	34	72
215	37	46	49	62	73
216	31	32	34	54	59
217	8	41	56	65	74
218	17	26	31	33	63
219	3	19	32	59	63
220	19	35	38	39	78
221	45	69	72	77	79
222	3	24	27	58	69
223	10	21	43	64	68
224	18	41	58	62	73
225	16	34	37	42	70
226	17	24	50	56	66
227	19	23	32	38	61
228	12	23	50	52	55
229	7	60	62	67	74
230	14	27	41	68	78
231	3	28	41	58	75
232	27	34	35	42	62
233	49	55	56	68	71
234	27	29	34	64	73
235	17	27	35	54	76
236	14	26	51	55	64
237	14	26	36	37	69
238	25	27	55	61	69
239	17	60	67	74	75
